model,dataset,ROC_AUC_mean,ROC_AUC_std,Balanced_Accuracy_mean,Balanced_Accuracy_std,Precision_mean,Precision_std,Recall_mean,Recall_std,F1_mean,F1_std,MCC_mean,MCC_std
RandomForest,target_JAK1,0.9918,0.0048,0.7824,0.0199,0.9896,0.001,0.9964,0.0015,0.993,0.0008,0.6663,0.0348
HistGradientBoosting,target_JAK1,0.9882,0.0046,0.7553,0.0402,0.9883,0.0019,0.9979,0.0017,0.9931,0.001,0.656,0.0598
GradientBoosting,target_JAK1,0.9309,0.029,0.7032,0.0316,0.9859,0.0015,0.9968,0.0017,0.9913,0.0008,0.5504,0.0534
RandomForest,target_JAK2,0.9829,0.0061,0.8466,0.0562,0.9905,0.0036,0.9891,0.001,0.9898,0.002,0.6767,0.0787
HistGradientBoosting,target_JAK2,0.9737,0.0096,0.7949,0.048,0.987,0.0031,0.9966,0.0008,0.9918,0.0017,0.7002,0.0703
GradientBoosting,target_JAK2,0.9525,0.02,0.7775,0.0365,0.986,0.0024,0.9955,0.0011,0.9907,0.0016,0.6597,0.0644
RandomForest,target_JAK3,0.9951,0.0027,0.9087,0.0158,0.9916,0.0015,0.9966,0.0006,0.9941,0.0005,0.8624,0.0125
HistGradientBoosting,target_JAK3,0.9907,0.0069,0.906,0.0281,0.9913,0.0027,0.9971,0.0013,0.9942,0.0013,0.8651,0.031
GradientBoosting,target_JAK3,0.96,0.0241,0.887,0.0336,0.9896,0.0033,0.9955,0.0027,0.9926,0.0011,0.8269,0.0282
RandomForest,target_MMP1,0.9705,0.0093,0.9119,0.0191,0.9555,0.0105,0.9674,0.0096,0.9614,0.0081,0.8357,0.0343
HistGradientBoosting,target_MMP1,0.9633,0.0077,0.8893,0.0156,0.9411,0.008,0.9723,0.0082,0.9564,0.0071,0.81,0.0305
SVM,target_MMP1,0.9666,0.0135,0.9207,0.0188,0.9621,0.011,0.9625,0.0075,0.9623,0.0071,0.842,0.0305
GradientBoosting,target_MMP1,0.9553,0.0129,0.8772,0.0269,0.9343,0.0139,0.9723,0.0101,0.9529,0.0108,0.7926,0.0498
RandomForest,target_FAP,0.9717,0.0209,0.9166,0.039,0.8856,0.0557,0.9365,0.0358,0.9099,0.0422,0.8313,0.0789
HistGradientBoosting,target_FAP,0.9681,0.0216,0.913,0.0321,0.8997,0.0491,0.9127,0.0227,0.9059,0.0351,0.8255,0.0664
SVM,target_FAP,0.9745,0.0191,0.9189,0.0469,0.8838,0.0656,0.9444,0.0434,0.9125,0.0507,0.8359,0.0946
GradientBoosting,target_FAP,0.9701,0.0228,0.9291,0.0386,0.9008,0.0594,0.9482,0.0365,0.9233,0.0421,0.8569,0.0788
RandomForest,target_HDAC9,0.9283,0.0308,0.8468,0.0485,0.8991,0.0212,0.8756,0.0795,0.886,0.0473,0.6913,0.1145
HistGradientBoosting,target_HDAC9,0.8796,0.0462,0.7859,0.0486,0.836,0.0349,0.9022,0.0372,0.8675,0.0306,0.5971,0.0985
SVM,target_HDAC9,0.9322,0.0285,0.8632,0.0293,0.9202,0.0193,0.8667,0.0567,0.8918,0.0299,0.7139,0.0703
GradientBoosting,target_HDAC9,0.9207,0.019,0.7978,0.0374,0.8388,0.038,0.9333,0.0272,0.8826,0.0135,0.6381,0.05
RandomForest,target_TNF_alpha,0.9932,0.0056,0.974,0.0151,0.9949,0.0036,0.9812,0.0097,0.988,0.0061,0.9151,0.0413
HistGradientBoosting,target_TNF_alpha,0.9889,0.0072,0.9443,0.0184,0.985,0.0055,0.9874,0.0059,0.9862,0.0039,0.8954,0.0296
SVM,target_TNF_alpha,0.9917,0.0065,0.9748,0.0091,0.9943,0.0026,0.9868,0.0041,0.9905,0.0025,0.9308,0.0181
GradientBoosting,target_TNF_alpha,0.9866,0.0073,0.9289,0.0164,0.9801,0.0047,0.9893,0.0048,0.9847,0.0041,0.8815,0.0312
RandomForest,target_NFkB_p65,0.9523,0.0071,0.8594,0.0143,0.9385,0.0067,0.9163,0.0147,0.9272,0.009,0.7011,0.0322
HistGradientBoosting,target_NFkB_p65,0.9478,0.0035,0.8124,0.014,0.9057,0.0078,0.9503,0.0057,0.9274,0.0037,0.6664,0.0201
SVM,target_NFkB_p65,0.9512,0.0081,0.8854,0.0134,0.9632,0.0076,0.8816,0.0126,0.9206,0.0079,0.7128,0.0257
GradientBoosting,target_NFkB_p65,0.9308,0.0045,0.7751,0.0313,0.8848,0.0158,0.9635,0.0063,0.9224,0.0084,0.6267,0.0485
RandomForest,target_SMO,0.9611,0.0667,0.8327,0.1551,0.9928,0.0065,0.9988,0.0027,0.9958,0.0027,0.7686,0.1651
HistGradientBoosting,target_SMO,0.9592,0.0807,0.8565,0.1495,0.994,0.006,0.9964,0.0054,0.9952,0.0046,0.7577,0.2166
SVM,target_SMO,0.9764,0.0415,0.9059,0.1443,0.9964,0.0053,0.9952,0.005,0.9958,0.0027,0.7959,0.1609
GradientBoosting,target_SMO,0.8585,0.0933,0.8321,0.1284,0.9928,0.005,0.9976,0.0033,0.9952,0.0027,0.7386,0.2018
RandomForest,target_HIF1A,0.9538,0.0365,0.8699,0.0638,0.8576,0.0551,0.8075,0.1083,0.8306,0.0823,0.751,0.1158
HistGradientBoosting,target_HIF1A,0.9417,0.0389,0.8764,0.0335,0.8556,0.0299,0.8249,0.0679,0.8387,0.0395,0.7601,0.0563
SVM,target_HIF1A,0.9518,0.0351,0.8849,0.0589,0.8439,0.0441,0.851,0.1173,0.8447,0.0695,0.7695,0.1005
GradientBoosting,target_HIF1A,0.9383,0.0372,0.8346,0.0383,0.8153,0.0786,0.7636,0.0889,0.7837,0.0499,0.6832,0.0724
RandomForest,target_CTNNB1,0.9827,0.0254,0.9521,0.0354,0.9846,0.0344,0.9242,0.0544,0.9525,0.0338,0.9008,0.0697
HistGradientBoosting,target_CTNNB1,0.9678,0.0409,0.9325,0.0489,0.9413,0.0579,0.9396,0.0641,0.9389,0.0451,0.8673,0.0949
SVM,target_CTNNB1,0.9785,0.0337,0.943,0.0241,0.9703,0.0407,0.9242,0.0544,0.9451,0.0232,0.8846,0.0463
GradientBoosting,target_CTNNB1,0.9565,0.046,0.9507,0.0546,0.9679,0.0439,0.9396,0.0641,0.9532,0.0518,0.8989,0.1095
RandomForest,target_CXCL12_CXCR4,0.9632,0.0221,0.8813,0.0441,0.9574,0.0182,0.9571,0.0143,0.9571,0.0122,0.763,0.0733
HistGradientBoosting,target_CXCL12_CXCR4,0.9564,0.0259,0.8665,0.0404,0.9489,0.0166,0.9718,0.0159,0.9601,0.0097,0.7694,0.061
SVM,target_CXCL12_CXCR4,0.9592,0.034,0.8909,0.0342,0.963,0.0155,0.9485,0.0148,0.9556,0.0082,0.7635,0.0488
GradientBoosting,target_CXCL12_CXCR4,0.9511,0.0474,0.8664,0.05,0.9472,0.0201,0.9828,0.0051,0.9646,0.0098,0.7899,0.066
RandomForest,target_Endothelin_R_A,0.9693,0.0097,0.831,0.0159,0.973,0.0028,0.9797,0.0065,0.9763,0.0019,0.6895,0.0123
HistGradientBoosting,target_Endothelin_R_A,0.9634,0.0098,0.7802,0.0179,0.9641,0.0028,0.9908,0.0039,0.9773,0.0011,0.6732,0.0157
